Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",2097,1892,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",765,320,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",240,118,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",86,30,SC
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",1190,138,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",351,232,ST
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",22,22,OBC-NCL (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemistry (4 Years, Bachelor of Science)",1743,261,SC
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",8,8,OBC-NCL (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",901,803,OPEN
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",104,104,OPEN (PwD)
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",4904,3782,OPEN
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",124,124,OPEN (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",1072,650.1,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1441,1101,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",2618,767,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",1018,520,OBC-NCL
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",143,11,ST
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Engineering Physics (4 Years, Bachelor of Technology)",2809,1074,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",51,51,OBC-NCL (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",174,174,OPEN (PwD)
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Textile Technology (4 Years, Bachelor of Technology)",2959,1776,OBC-NCL
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",345,74,ST
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",98,98,OPEN (PwD)
